,Brand,Model,Power,Price,Seller
80,MITSUBISHI,ERST30C-VM2EDR1,NaN,"673,920.00",Steelsoft
81,MITSUBISHI,170,NaN,"565,200.00",Steelsoft
82,MITSUBISHI,200,20,"581,760.00",Steelsoft
83,LG,HU121MA.U33,12,"345,600.00",Steelsoft
84,LG,HU141MA.U33,14,"367,200.00",Steelsoft
85,LG,HU161MA.U33,16,"381,600.00",Steelsoft
86,LG,HU123MA.U33,12,"352,800.00",Steelsoft
87,LG,HU143MA.U33,14,"374,400.00",Steelsoft
88,LG,HU163MA.U33,16,"417,600.00",Steelsoft
89,LG,HN091MR.NK5,8,"367,200.00",Steelsoft
90,LG,HN1616M.NK5,16,"267,200.00",Steelsoft
91,LG,HN1636M.NK5,16,"403,200.00",Steelsoft
92,LG,HN1600MC.NK1,16,"367,200.00",Steelsoft
93,LG,HN1616Y.NB1,16,"741,600.00",Steelsoft
94,LG,HM051MR.U44,4,"475,200.00",Steelsoft
95,LG,HM071MR.U44,6,"496,800.00",Steelsoft
96,LG,HM091MR.U44,8,"511,200.00",Steelsoft
97,LG,HM121MR.U34,12,"604,800.00",Steelsoft
98,LG,HM141MR.U34,14,"626,400.00",Steelsoft
99,LG,HM161MR.U34,16,"648,000.00",Steelsoft
100,LG,HM123MR.U34,12,"648,000.00",Steelsoft
101,LG,HM143MR.U34,14,"655,200.00",Steelsoft
102,LG,HM163MR.U34,16,"669,600.00",Steelsoft
103,MITSUBISHI,EHST20C-YM9DR1,16,"648,720.00",Steelsoft
104,TRANE,RTAF310,NaN,0.00,Steelsoft
105,TRANE,RTAF410,NaN,0.00,Steelsoft
106,TRANE,025,NaN,0.00,Steelsoft
107,TRANE,IH100,NaN,0.00,Steelsoft
